brand,name,rating,votes,url,last_crawled,sex
Giorgio_Armani,La Femme Nacre Giorgio Armani,4.53,62,https://www.fragrantica.com/perfume/Giorgio-Armani/La-Femme-Nacre-15216.html,2025-11-14T18:21:04.276629,
Guerlain,Mon Hair Mist,4.53,19,https://www.fragrantica.com/perfume/Guerlain/Mon-Guerlain-Hair-Mist-65938.html,2025-11-12T22:39:22.066139,
Prada,L'Homme Intense,4.53,6016,https://www.fragrantica.com/perfume/Prada/Prada-L-Homme-Intense-45396.html,2025-11-14T12:21:02.066931,
Roja_Dove,Semi-Bespoke No. 5 Roja Dove,4.53,17,https://www.fragrantica.com/perfume/Roja-Dove/Semi-Bespoke-No-5-44810.html,2025-11-07T10:20:31.473755,unisex
Giorgio_Armani,Emporio Armani Stronger With You Absolutely Giorgio Armani,4.53,7804,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-Stronger-With-You-Absolutely-64501.html,2025-11-14T16:30:18.677939,
Zaharoff,Seamless Soul,4.53,43,https://www.fragrantica.com/perfume/Zaharoff/Seamless-Soul-117918.html,2025-11-15T15:21:02.868792,unisex
Dior,Eau de Cologne Fraîche,4.53,34,https://www.fragrantica.com/perfume/Dior/Eau-de-Cologne-Fraiche-69860.html,2025-11-11T22:29:21.539385,unisex
Giorgio_Armani,Emporio Armani Stronger With You Leather Giorgio Armani,4.53,714,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-Stronger-With-You-Leather-63355.html,2025-11-14T18:02:24.278228,
Dior,essence Parfum,4.53,148,https://www.fragrantica.com/perfume/Dior/Dioressence-Parfum-33768.html,2025-11-11T23:04:29.809149,
Jean_Paul_Gaultier,Le Male Elixir Jean Paul Gaultier,4.53,20293,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-Elixir-81642.html,2025-11-15T16:01:50.236835,
Giorgio_Armani,Sable Fume Giorgio Armani,4.53,73,https://www.fragrantica.com/perfume/Giorgio-Armani/Sable-Fume-31211.html,2025-11-14T17:24:45.272753,unisex
Dior,Midnight Poison Extrait de Parfum,4.53,276,https://www.fragrantica.com/perfume/Dior/Midnight-Poison-Extrait-de-Parfum-11401.html,2025-11-12T09:35:56.065535,
Guerlain,Derby (Vintage),4.53,336,https://www.fragrantica.com/perfume/Guerlain/Derby-Vintage-5396.html,2025-11-12T11:30:47.091933,
Jean_Paul_Gaultier,Le Beau Le Parfum Jean Paul Gaultier,4.53,13883,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Beau-Le-Parfum-72158.html,2025-11-15T16:01:31.817354,
Dior,ella Parfum,4.53,146,https://www.fragrantica.com/perfume/Dior/Diorella-Parfum-33613.html,2025-11-11T23:20:21.045820,
Guerlain,Vetiver Frozen Fragrance,4.52,150,https://www.fragrantica.com/perfume/Guerlain/Vetiver-Frozen-Fragrance-2617.html,2025-11-12T16:11:25.671017,
Roja_Dove,Vetiver Roja Dove,4.52,211,https://www.fragrantica.com/perfume/Roja-Dove/Vetiver-16155.html,2025-11-07T09:42:44.870259,unisex
Guerlain,Vetiver Eau Glacee,4.52,93,https://www.fragrantica.com/perfume/Guerlain/Vetiver-Eau-Glacee-9289.html,2025-11-12T12:22:31.269212,
Clive_Christian,No. 1 Twist Violet Clive Christian,4.52,31,https://www.fragrantica.com/perfume/Clive-Christian/No-1-Twist-Violet-39606.html,2025-11-14T20:40:55.547159,unisex
Tom_Ford,Reserve Collection: Velvet Gardenia Tom Ford,4.52,61,https://www.fragrantica.com/perfume/Tom-Ford/Reserve-Collection-Velvet-Gardenia-53610.html,2025-10-20T22:48:59.626091,unisex
Dior,Homme Cologne 2022,4.52,3863,https://www.fragrantica.com/perfume/Dior/Dior-Homme-Cologne-2022-72062.html,2025-11-12T10:27:47.696472,
Guerlain,Eau de Shalimar Edition Charms,4.52,87,https://www.fragrantica.com/perfume/Guerlain/Eau-de-Shalimar-Edition-Charms-25332.html,2025-11-12T22:19:31.148356,
WIDIAN,Rose Arabia Ginger,4.52,107,https://www.fragrantica.com/perfume/WIDIAN/Rose-Arabia-Ginger-96141.html,2025-11-17T14:11:25.386564,unisex
Guerlain,Royal Extrait,4.52,65,https://www.fragrantica.com/perfume/Guerlain/Royal-Extrait-28844.html,2025-11-12T21:17:59.915894,
Acqua_di_Parma,Blu Mediterraneo Foglie di Basilico Acqua di Parma,4.52,23,https://www.fragrantica.com/perfume/Acqua-di-Parma/Blu-Mediterraneo-Foglie-di-Basilico-6095.html,2025-11-11T21:05:53.292832,unisex
Xerjoff,XJ 1861 Naxos,4.51,16183,https://www.fragrantica.com/perfume/Xerjoff/XJ-1861-Naxos-30529.html,2025-11-06T23:47:39.473743,unisex
Amouage,Tribute,4.51,326,https://www.fragrantica.com/perfume/Amouage/Tribute-7490.html,2025-11-06T15:32:47.017514,unisex
Guerlain,Habit Rouge Dress Code 2017,4.51,103,https://www.fragrantica.com/perfume/Guerlain/Habit-Rouge-Dress-Code-2017-47203.html,2025-11-12T11:29:57.951304,
Dior,Rouge Trafalgar Esprit De Parfum,4.51,409,https://www.fragrantica.com/perfume/Dior/Rouge-Trafalgar-Esprit-De-Parfum-95983.html,2025-11-11T22:26:44.260576,unisex
Giorgio_Armani,Nuances Giorgio Armani,4.51,41,https://www.fragrantica.com/perfume/Giorgio-Armani/Nuances-18593.html,2025-11-14T17:24:38.446477,
Guerlain,Shalimar Millésime Vanilla Planifolia,4.51,585,https://www.fragrantica.com/perfume/Guerlain/Shalimar-Millesime-Vanilla-Planifolia-69424.html,2025-11-12T23:16:23.374062,
Amouage,Ruh Al Ward,4.5,54,https://www.fragrantica.com/perfume/Amouage/Ruh-Al-Ward-42663.html,2025-11-06T15:51:36.688999,
Dior,Homme Intense 2011,4.5,23094,https://www.fragrantica.com/perfume/Dior/Dior-Homme-Intense-2011-13016.html,2025-11-12T10:46:23.789591,
Tauer_Perfumes,Ylang Calm Tauer Perfumes,4.5,4,https://www.fragrantica.com/perfume/Tauer-Perfumes/Ylang-Calm-45825.html,2025-11-19T15:24:15.574051,unisex
Roja_Dove,Semi-Bespoke No. 10 Roja Dove,4.5,38,https://www.fragrantica.com/perfume/Roja-Dove/Semi-Bespoke-No-10-45946.html,2025-11-07T10:03:40.608000,unisex
Guerlain,Mitsouko Eau de Cologne,4.5,127,https://www.fragrantica.com/perfume/Guerlain/Mitsouko-Eau-de-Cologne-52037.html,2025-11-12T22:20:37.654769,
Clive_Christian,Baies Rose Iconic Elixir Clive Christian,4.5,4,https://www.fragrantica.com/perfume/Clive-Christian/Baies-Rose-Iconic-Elixir-57889.html,2025-11-14T20:41:39.112746,unisex
M_Micallef,1707 Pink M. Micallef,4.5,4,https://www.fragrantica.com/perfume/M-Micallef/1707-Pink-28081.html,2025-11-14T22:25:50.108684,
Amouage,Guidance Hair Perfume,4.5,4,https://www.fragrantica.com/perfume/Amouage/Guidance-Hair-Perfume-116529.html,2025-11-06T15:32:59.996110,unisex
M_Micallef,Aoud 3 M. Micallef,4.5,10,https://www.fragrantica.com/perfume/M-Micallef/Aoud-3-16008.html,2025-11-14T22:25:36.390905,
